post_id,title,category,score,num_comments,author,collected_at
47625952,Show HN: I built a frontpage for personal blogs,entertainment,761,191,ramkarthikk,2026-04-05 19:12:25
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,536,181,detaro,2026-04-05 19:12:25
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,189,74,MaximilianEmel,2026-04-05 19:12:25
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,155,6,teamchong,2026-04-05 19:12:25
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 19:12:25
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,121,11,kaipereira,2026-04-05 19:12:25
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,106,19,laszlokorte,2026-04-05 19:12:25
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,entertainment,92,37,borski,2026-04-05 19:12:25
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,81,36,waveywaves,2026-04-05 19:12:25
47645976,AI that copied musical artist files copyright claim against artist [updated],entertainment,60,14,josephcsible,2026-04-05 19:12:25
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,58,6,xbmcuser,2026-04-05 19:12:25
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,49,52,luca-ctx,2026-04-05 19:12:25
47613118,Show HN: I built a small app for FSI German Course,entertainment,41,13,syedmsawaid,2026-04-05 19:12:25
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,24,2,lexalizer,2026-04-05 19:12:25
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,11,0,paberr,2026-04-05 19:12:25
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,7,0,Jet_Xu,2026-04-05 19:12:25
47604155,SpaceX files to go public,science,397,573,nutjob2,2026-04-05 19:12:23
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 19:12:23
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,96,39,Bender,2026-04-05 19:12:23
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 19:12:23
47648404,Sad Story of My Google Workspace Account Suspension,science,76,19,zenincognito,2026-04-05 19:12:23
47629485,A case study in testing with 100+ Claude agents in parallel,science,52,46,thejash,2026-04-05 19:12:23
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05 19:12:23
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 19:12:23
47630141,Quantum computer researchers: Bitcoin encryption breakable in a few years,science,15,7,croes,2026-04-05 19:12:23
47611993,VR Realizes the Cyberspace Metaphor,science,14,12,dryadin,2026-04-05 19:12:23
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 19:12:23
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,12,7,bookmtn,2026-04-05 19:12:23
47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,science,11,0,codydh,2026-04-05 19:12:23
47645926,The Spaceballs sequel will be released in April next year,science,6,0,WaitWaitWha,2026-04-05 19:12:23
47637013,MIT study challenges AI job apocalypse narrative,science,5,2,TMWNN,2026-04-05 19:12:23
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,780,365,hkmaxpro,2026-04-05 19:12:21
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,206,135,pseudolus,2026-04-05 19:12:21
47641615,Sopwith – 1984 Game (2000),sports,94,42,elvis70,2026-04-05 19:12:21
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,29,simple10,2026-04-05 19:12:21
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-05 19:12:21
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-05 19:12:21
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,14,3,andsoitis,2026-04-05 19:12:21
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 19:12:21
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-05 19:12:21
47642552,Nandgame – Build a Computer from Scratch,sports,5,0,Vortigaunt,2026-04-05 19:12:21
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1051,801,firloop,2026-04-05 19:09:02
47640728,Show HN: A game where you build a GPU,technology,823,166,Jaso1024,2026-04-05 19:08:48
47624645,Show HN: Apfel – The free AI already on your Mac,technology,719,147,franze,2026-04-05 19:09:17
47637757,Embarrassingly simple self-distillation improves code generation,technology,612,184,Anon84,2026-04-05 19:09:00
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,451,204,naves,2026-04-05 19:08:59
47633855,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,398,252,eichin,2026-04-05 19:09:07
47618223,We replaced RAG with a virtual filesystem for our AI documentation assistant,technology,395,148,denssumesh,2026-04-05 19:09:21
47621792,Post Mortem: axios NPM supply chain compromise,technology,281,134,JeanMeche,2026-04-05 19:09:14
47640875,"LLM Wiki – example of an ""idea file""",technology,232,76,tamnd,2026-04-05 19:08:52
47633131,"Run Linux containers on Android, no root required",technology,212,83,politelemon,2026-04-05 19:09:20
47645432,Introduction to Computer Music (2009) [pdf],technology,180,56,luu,2026-04-05 19:08:50
47641788,Iranian missile blitz takes down AWS data centers in Bahrain and Dubai,technology,169,150,lschueller,2026-04-05 19:09:25
47622616,The Technocracy Movement of the 1930s,technology,166,135,lazydogbrownfox,2026-04-05 19:09:23
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",technology,166,81,jrandolf,2026-04-05 19:08:56
47606244,Training mRNA Language Models Across 25 Species for $165,technology,141,32,maziyar,2026-04-05 19:09:03
47645468,Writing Lisp is AI resistant and I'm sad,technology,69,74,djha-skin,2026-04-05 19:09:21
47590230,Costco sued for seeking refunds on tariffs customers paid,technology,63,46,AdmiralAsshat,2026-04-05 19:08:53
47645235,Brain scans reveal how to enters a psychedelic-like trance without drugs,technology,62,16,ingenika,2026-04-05 19:09:09
47587089,"Zml-smi: universal monitoring tool for GPUs, TPUs and NPUs",technology,58,8,steeve,2026-04-05 19:08:54
47616157,Software never had a soul,technology,19,17,firloop,2026-04-05 19:09:26
47638147,"Show HN: Pluck – Copy any UI from any website, paste it into AI coding tools",technology,17,15,bring-shrubbery,2026-04-05 19:09:24
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],technology,8,5,throw0101c,2026-04-05 19:09:01
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",technology,5,2,rrvsh,2026-04-05 19:09:20
47648529,Right to repair: Why the US military can't fix much of its own equipment,technology,5,4,scythe,2026-04-05 19:09:04
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,586,208,pretext,2026-04-05 19:09:37
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,295,147,Growtika,2026-04-05 19:10:00
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,262,184,zaikunzhang,2026-04-05 19:09:28
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,150,45,jackson-mcd,2026-04-05 19:09:39
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 19:10:32
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-05 19:10:16
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,86,120,vrganj,2026-04-05 19:11:42
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,46,11,cmitsakis,2026-04-05 19:09:45
47592113,"Jami – free/libre, end-to-end encrypted, and private communication software",worldnews,44,4,smartmic,2026-04-05 19:12:09
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,44,24,tosh,2026-04-05 19:09:53
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,41,29,1659447091,2026-04-05 19:09:28
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,7,j0rg3,2026-04-05 19:10:28
47620426,Amazon data center in Bahrain attacked by Iranian Revolutionary Guards,worldnews,25,5,topherPedersen,2026-04-05 19:11:57
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,24,10,bundie,2026-04-05 19:11:51
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,10,3,mempko,2026-04-05 19:11:59
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-05 19:10:39
47608080,Show HN: 65k AI voters predict UK local elections with 75% accuracy,worldnews,9,9,JasonDuke,2026-04-05 19:12:03
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,7,1,nikisweeting,2026-04-05 19:12:16
47615058,Old code never dies: why legacy software is often safer than new code,worldnews,6,0,speckx,2026-04-05 19:11:58
47645696,Towards end-to-end automation of AI research,worldnews,6,0,hardmaru,2026-04-05 19:10:04
47648177,China Edges Past U.S. in Global Approval Ratings,worldnews,5,0,KnuthIsGod,2026-04-05 19:09:45
